xy_p xy_n yz_p yz_n zx_p zx_n
0 1307 47 281 413 0 
0 1433 11 296 266 42 
0 1428 0 324 296 0 
0 1328 0 352 327 41 
0 1379 11 391 189 78 
0 1388 0 447 213 0 
0 1225 0 527 216 80 
212 973 154 474 22 213 
166 959 190 485 27 221 
154 811 249 524 77 233 
3 1232 112 378 253 70 
91 1072 174 354 218 139 
162 929 216 353 227 161 
0 1218 107 298 331 94 
2 1151 120 310 351 114 
73 988 161 311 348 167 
0 1180 128 189 435 116 
0 1163 114 210 456 105 
0 1129 92 245 486 96 
0 492 102 933 419 102 
0 1100 129 90 603 126 
0 826 226 0 996 0 
0 432 161 47 1250 158 
0 246 51 659 988 104 
0 680 69 589 709 1 
0 628 55 566 743 56 
0 436 12 712 880 8 
0 632 0 720 696 0 
0 565 9 752 722 0 
0 419 10 811 801 7 
0 675 1 745 561 66 
0 636 69 733 546 64 
0 445 12 899 677 15 
0 562 0 900 467 119 
0 596 115 931 293 113 
0 286 106 933 677 46 
0 605 68 696 610 69 
0 601 67 703 610 67 
0 525 65 719 712 27 
0 640 68 633 647 60 
0 582 16 716 714 20 
0 543 29 709 730 37 
0 607 70 598 702 71 
0 603 66 601 715 63 
0 443 27 716 786 76 
223 874 99 514 22 316 
14 1227 206 59 455 87 
14 1143 202 87 537 65 
36 1072 161 115 664 0 
38 718 127 127 985 53 
0 1208 138 233 380 89 
0 1257 52 263 454 22 
17 749 94 422 766 0 
0 1202 72 417 212 145 
0 1264 8 485 237 54 
24 682 0 902 359 81 
57 1085 53 573 47 233 
68 1048 1 661 82 188 
75 656 60 999 115 143 
224 919 114 449 5 337 
238 887 101 474 16 332 
333 677 57 651 99 231 
294 942 224 225 101 262 
286 924 208 247 112 271 
471 692 170 339 190 186 
263 966 273 69 291 186 
272 929 275 87 306 179 
439 723 194 153 414 125 
205 893 354 3 527 66 
210 856 340 16 571 55 
269 660 227 104 759 29 
0 447 116 856 443 186 
0 938 277 252 467 114 
0 759 281 155 793 60 
0 609 299 181 956 3 
0 361 351 160 1164 12 
0 674 173 487 606 108 
0 671 153 540 626 58 
0 580 77 618 773 0 
0 689 95 575 521 168 
0 669 76 617 564 122 
0 539 13 746 689 61 
0 686 61 684 380 237 
0 639 0 760 426 223 
0 460 0 960 540 88 
0 654 25 900 216 253 
0 629 66 846 267 240 
0 531 95 906 300 216 
0 635 106 626 479 202 
0 629 107 622 490 200 
0 606 104 626 505 207 
0 649 234 505 562 98 
0 634 194 520 600 100 
0 628 189 551 587 93 
0 614 291 393 741 9 
0 618 253 391 715 71 
0 557 235 422 748 86 
1 804 5 719 422 97 
0 1081 130 293 529 15 
0 1023 46 395 572 12 
0 908 111 410 617 2 
0 638 40 512 858 0 
0 1021 0 515 512 0 
0 965 0 546 537 0 
0 837 0 601 610 0 
0 1048 4 561 387 48 
0 912 0 620 401 115 
0 646 0 851 513 38 
1 993 19 782 44 209 
0 755 6 1054 29 204 
1 613 0 1156 102 176 
0 999 30 621 253 145 
1 898 14 688 318 129 
1 841 4 720 360 122 
0 1014 34 479 484 37 
0 958 39 513 515 23 
0 886 24 561 560 17 
1 975 148 289 630 5 
1 901 145 334 666 1 
1 847 129 366 703 2 
0 987 205 39 810 7 
1 701 210 23 1110 3 
1 605 182 95 1165 0 
0 1338 0 466 79 165 
0 1456 120 56 397 19 
0 1365 130 65 466 22 
0 1355 65 83 536 9 
0 787 236 82 932 11 
0 1587 0 173 288 0 
0 1565 0 181 302 0 
0 1063 12 387 581 5 
0 1553 0 331 148 16 
0 1438 0 357 160 93 
0 1036 0 692 211 109 
0 1247 0 581 50 170 
0 1197 0 629 43 179 
0 953 0 800 69 226 
0 1399 0 429 55 165 
0 1343 0 464 75 166 
0 1228 0 537 140 143 
0 1393 20 302 193 140 
0 1404 14 307 210 113 
0 1278 4 391 316 59 
0 1377 152 145 364 10 
0 1361 127 172 383 5 
0 1252 135 258 398 5 
0 1334 172 21 499 22 
0 1275 169 49 554 1 
0 1131 169 74 669 5 
0 307 67 863 778 33 
0 1246 57 355 334 56 
0 1104 91 262 579 12 
0 1000 128 301 607 12 
0 650 91 384 923 0 
0 972 50 474 540 12 
0 970 6 508 564 0 
0 883 6 552 607 0 
0 984 0 569 426 69 
0 992 0 573 430 53 
0 859 0 634 473 82 
0 1133 16 600 159 140 
1 920 6 765 167 189 
1 599 0 998 280 170 
1 1048 23 666 163 147 
1 954 15 734 190 154 
1 898 4 788 213 144 
0 991 24 514 404 115 
1 941 39 538 425 104 
1 899 11 602 477 58 
1 1005 140 335 563 4 
1 929 138 373 605 2 
1 877 123 415 629 3 
0 1046 173 66 759 4 
1 960 171 74 841 1 
1 870 167 110 900 0 
0 1082 3 680 189 94 
0 1261 53 207 498 29 
0 1169 80 215 567 17 
0 1024 80 269 671 4 
0 420 44 757 779 48 
0 1225 0 381 442 0 
0 1164 0 401 483 0 
0 448 25 748 775 52 
0 1185 0 510 308 45 
0 1103 0 535 344 66 
0 391 29 797 751 80 
0 1056 1 752 112 127 
0 844 0 944 149 111 
0 426 17 814 726 65 
0 1152 11 649 141 95 
0 1106 1 657 182 102 
0 429 22 851 691 55 
0 1171 21 443 351 62 
0 1117 15 478 382 56 
0 458 39 768 746 37 
0 1148 89 286 519 6 
0 1091 84 315 558 0 
0 407 61 740 802 38 
0 1139 106 34 763 6 
0 960 122 39 927 0 
0 438 43 714 817 36 
213 310 42 803 464 216 
1 716 130 500 683 18 
0 683 77 529 745 14 
1 605 107 538 790 7 
10 338 20 618 1062 0 
0 691 0 671 686 0 
0 653 0 699 696 0 
0 423 0 795 830 0 
0 678 0 744 563 63 
0 612 0 799 555 82 
5 377 0 972 660 34 
121 672 14 853 55 333 
134 473 0 1093 52 296 
157 163 0 1178 225 325 
213 427 70 708 402 228 
212 420 51 712 426 227 
218 303 39 803 451 234 
212 485 156 518 508 169 
225 448 126 564 542 143 
243 327 117 619 616 126 
227 420 259 418 664 60 
226 410 236 453 663 60 
225 311 224 489 747 52 
151 659 348 35 841 14 
172 514 357 29 975 1 
181 253 315 257 1042 0 
0 991 9 673 284 91 
0 1280 121 191 445 11 
0 1213 43 250 536 6 
0 1100 117 281 550 0 
0 890 36 342 780 0 
0 1216 5 395 431 1 
0 1226 0 397 425 0 
0 1023 0 497 528 0 
0 1212 4 525 256 51 
0 1119 0 536 285 108 
0 950 0 706 381 11 
0 1111 13 715 56 153 
0 946 3 887 39 173 
0 631 0 1114 109 194 
0 1101 24 589 204 130 
0 1038 17 649 228 116 
0 994 6 663 279 106 
0 1122 49 400 389 88 
0 1115 24 432 427 50 
0 1071 17 483 456 21 
0 1098 141 216 591 2 
0 1036 133 261 617 1 
0 986 117 318 626 1 
0 1138 166 10 731 3 
0 829 198 13 1008 0 
0 696 205 58 1089 0 
0 787 23 915 194 129 
0 1063 147 211 620 7 
0 1000 145 211 688 4 
0 724 129 284 911 0 
0 444 153 352 1097 2 
0 981 11 474 574 8 
0 886 75 483 602 2 
0 461 8 697 881 1 
0 1009 0 565 456 18 
0 869 0 605 498 76 
0 457 1 867 716 7 
0 1008 7 679 212 142 
0 715 0 908 290 135 
0 441 3 1102 349 153 
1 957 27 775 134 154 
1 860 10 865 154 158 
1 607 6 928 348 158 
1 930 46 567 396 108 
0 875 39 595 431 108 
0 731 17 683 551 66 
1 922 145 398 572 10 
1 865 130 433 607 12 
0 734 75 554 682 3 
1 961 169 139 775 3 
1 852 165 161 869 0 
1 627 159 328 932 1 
187 116 75 889 574 207 
37 425 148 565 812 61 
25 367 106 693 819 38 
11 356 82 720 852 27 
47 211 25 763 1002 0 
0 354 55 797 784 58 
0 309 47 824 828 40 
2 228 28 878 881 31 
25 361 41 825 671 125 
8 344 36 853 707 100 
50 224 0 978 757 39 
146 435 2 1102 5 358 
143 346 1 1265 1 292 
167 260 0 976 411 234 
189 156 110 830 512 251 
194 134 108 840 521 251 
187 154 95 839 550 223 
225 77 209 653 695 189 
233 23 201 702 703 186 
246 3 162 726 748 163 
184 155 259 520 849 81 
184 143 242 533 827 119 
195 150 224 554 835 90 
161 451 379 0 1053 4 
189 402 360 3 1094 0 
173 250 237 431 957 0 
0 943 9 673 307 116 
0 1164 115 248 507 14 
0 1150 47 277 561 13 
0 1000 118 309 616 5 
0 618 114 426 885 5 
0 1142 0 450 456 0 
0 1105 0 464 479 0 
0 792 0 627 629 0 
0 1140 0 548 294 66 
0 1033 0 585 310 120 
0 670 0 839 431 108 
0 973 5 838 27 205 
0 791 0 997 64 196 
0 583 2 1174 90 199 
0 1025 17 615 247 144 
0 974 13 641 279 141 
0 895 5 713 327 108 
0 1112 31 429 441 35 
0 1064 23 467 469 25 
0 946 18 534 532 18 
0 1033 152 237 623 3 
0 975 144 285 641 3 
0 890 118 339 698 3 
0 980 202 25 835 6 
0 755 199 54 1040 0 
0 599 202 86 1159 2 
104 415 84 881 480 84 
10 703 94 476 671 94 
0 666 88 388 870 36 
48 616 93 267 975 49 
60 354 50 416 1128 40 
0 573 71 644 737 23 
0 544 59 635 762 48 
7 493 42 662 785 59 
0 576 20 733 667 52 
0 541 41 767 655 44 
0 484 74 771 719 0 
1 639 32 816 476 84 
34 545 66 886 433 84 
52 325 5 1139 491 36 
135 513 85 806 404 105 
128 531 96 863 325 105 
122 486 87 865 401 87 
168 497 86 654 553 90 
168 485 79 676 559 81 
172 454 72 686 594 70 
160 491 94 571 645 87 
177 452 79 605 656 79 
179 457 37 623 678 74 
132 492 96 477 759 92 
140 508 98 407 812 83 
125 478 92 435 835 83 
1253 273 22 305 41 154 
971 443 108 148 372 6 
937 458 72 175 403 3 
906 401 106 186 449 0 
1411 88 26 151 372 0 
996 395 49 230 373 5 
1036 372 16 246 378 0 
1468 128 0 192 260 0 
986 427 0 395 188 52 
1018 388 0 404 193 45 
1410 122 0 328 188 0 
791 403 0 531 134 189 
846 341 0 521 165 175 
1352 72 0 396 142 86 
1405 274 42 153 0 174 
1313 273 27 255 20 160 
1271 54 3 459 169 92 
1406 331 65 88 26 132 
1400 295 63 117 48 125 
1333 213 21 237 170 74 
1402 321 160 13 112 40 
1372 299 149 21 167 40 
1403 0 110 157 378 0 
1318 275 185 27 238 5 
1245 201 171 18 411 2 
1152 35 108 196 557 0 
0 599 9 1117 229 94 
0 1262 113 113 542 18 
0 1131 112 135 647 23 
0 998 125 152 763 10 
0 611 117 243 1077 0 
0 1125 53 331 523 16 
0 1089 45 347 551 16 
0 933 50 395 668 2 
0 1162 0 466 366 54 
0 1168 0 492 388 0 
0 1016 0 592 440 0 
0 1196 0 548 230 74 
0 1088 0 618 244 98 
0 742 0 907 348 51 
0 1163 12 716 45 112 
0 1011 4 851 51 131 
0 836 0 1014 73 125 
0 1121 27 537 280 83 
0 1086 13 557 305 87 
0 989 1 619 377 62 
0 1153 101 329 458 7 
0 1106 83 368 483 8 
0 1025 47 419 550 7 
0 1156 115 151 618 8 
0 1086 115 176 671 0 
0 975 104 239 730 0 
0 891 8 811 207 131 
0 1214 142 146 533 13 
0 1069 112 279 582 6 
0 903 131 318 693 3 
0 461 157 383 1043 4 
0 1036 26 454 521 11 
0 1018 20 457 552 1 
0 641 0 656 751 0 
0 1056 0 543 414 35 
0 981 0 566 421 80 
0 569 1 818 618 42 
0 1054 9 679 153 153 
0 880 0 847 224 97 
0 486 3 1091 291 177 
0 1040 14 696 147 151 
0 970 6 752 176 144 
0 595 4 1051 316 82 
0 1027 27 516 369 109 
0 997 16 567 416 52 
0 829 18 661 510 30 
0 1025 134 322 566 1 
0 983 127 359 577 2 
0 846 57 437 704 4 
0 1047 158 74 762 7 
0 909 180 83 876 0 
0 692 148 228 975 5 
1316 100 50 152 106 324 
1318 81 317 73 92 167 
1272 76 393 81 103 123 
1397 77 326 77 114 57 
1594 60 209 79 91 15 
1513 53 197 72 72 141 
1508 42 220 66 66 146 
1540 43 185 65 62 153 
1537 46 160 61 70 174 
1514 48 149 80 85 172 
1585 36 138 69 65 155 
1568 48 120 55 57 200 
1467 49 155 73 67 237 
1553 56 119 55 65 200 
1510 55 12 89 62 320 
1368 96 28 138 106 312 
1338 90 32 144 130 314 
1650 6 116 9 3 264 
1586 36 139 45 2 240 
1535 19 118 84 88 204 
1612 15 233 0 3 185 
1660 0 172 27 23 166 
1615 18 134 77 70 134 
1663 16 279 1 14 75 
1576 38 242 2 56 134 
1334 58 292 86 108 170 
1 752 5 790 390 110 
0 1024 123 329 557 15 
0 976 41 425 598 8 
0 888 119 380 653 8 
0 561 48 544 895 0 
0 965 0 538 545 0 
0 938 0 552 558 0 
0 762 0 646 640 0 
0 965 0 616 420 47 
0 889 0 656 385 118 
0 626 0 859 529 34 
1 942 12 828 96 169 
1 796 3 1041 34 173 
1 567 0 1192 124 164 
1 959 19 678 260 131 
1 890 13 712 303 129 
1 789 4 778 358 118 
0 982 31 491 497 47 
0 941 26 535 524 22 
1 827 19 591 589 21 
0 947 143 292 660 6 
1 895 134 323 694 1 
1 787 115 377 767 1 
1 923 188 70 853 13 
1 692 193 26 1136 0 
1 597 166 88 1195 1 
888 344 25 558 198 35 
692 653 53 189 437 24 
726 528 65 185 535 9 
759 533 73 93 590 0 
820 440 62 80 645 1 
761 531 55 233 449 19 
727 539 60 231 484 7 
868 415 13 254 497 1 
765 524 7 463 219 70 
729 535 1 487 228 68 
820 464 0 494 216 54 
699 524 3 534 213 75 
658 587 1 641 77 84 
857 461 0 519 146 65 
794 522 10 471 192 59 
813 502 1 478 185 69 
855 434 0 489 202 68 
800 528 25 411 229 55 
842 491 30 427 202 56 
816 481 20 468 215 48 
795 527 66 191 450 19 
841 487 65 194 459 2 
869 403 53 225 498 0 
816 557 73 203 398 1 
783 501 66 169 526 3 
870 417 62 218 481 0 
84 770 32 878 133 151 
0 1118 87 222 594 27 
0 1043 85 236 653 31 
0 805 109 301 818 15 
0 443 119 391 1089 6 
0 1031 4 454 559 0 
0 913 27 504 586 18 
0 473 0 740 835 0 
0 980 0 601 454 13 
0 939 0 595 469 45 
0 483 0 850 715 0 
0 1018 0 698 216 116 
0 814 0 867 261 106 
0 387 0 1217 347 97 
99 918 44 718 72 197 
107 829 33 802 97 180 
129 485 40 929 299 166 
89 884 61 525 345 144 
100 825 65 539 370 149 
118 612 61 653 500 104 
80 890 134 349 537 58 
90 836 138 367 557 60 
110 592 100 496 690 60 
70 960 144 61 759 54 
93 748 188 83 912 24 
106 506 156 266 972 42 
0 646 24 953 395 30 
0 1634 90 112 191 21 
0 1372 116 47 499 14 
0 996 119 105 816 12 
0 729 137 143 1039 0 
0 1259 47 275 451 16 
0 1203 50 291 502 2 
0 1109 69 335 526 9 
0 1263 1 416 326 42 
0 1247 2 437 361 1 
0 1084 0 520 444 0 
0 1304 2 491 178 73 
0 1189 2 531 234 92 
0 991 0 681 288 88 
0 1257 15 641 5 130 
0 1092 5 815 12 124 
0 933 10 909 54 142 
0 1187 25 474 255 107 
0 1122 23 525 274 104 
0 1062 20 550 321 95 
0 1207 92 324 404 21 
0 1125 89 360 449 25 
0 1091 64 402 474 17 
0 1228 100 151 548 21 
0 1119 111 196 619 3 
0 1033 104 243 661 7 
106 1143 40 425 172 162 
0 1613 128 30 271 6 
7 1559 66 61 355 0 
12 1498 73 65 400 0 
16 1450 24 62 496 0 
0 1668 3 137 240 0 
0 1624 0 173 251 0 
0 1605 0 191 252 0 
0 1636 0 259 137 16 
0 1624 0 276 148 0 
0 1600 0 279 169 0 
10 1518 0 392 41 87 
17 1434 0 442 52 103 
19 1392 0 531 45 61 
82 1493 37 281 14 141 
83 1414 31 325 47 148 
85 1385 35 327 78 138 
86 1493 45 180 132 112 
86 1465 42 196 144 115 
89 1427 65 199 150 118 
89 1522 123 88 192 34 
87 1459 127 135 199 41 
92 1429 129 143 218 37 
70 1494 147 5 307 25 
73 1425 132 27 363 28 
93 1329 143 77 382 24 
89 734 4 839 253 129 
1 1119 128 206 585 9 
0 1086 77 247 628 10 
6 897 119 306 715 5 
10 556 103 404 975 0 
0 1044 38 442 516 8 
0 1018 0 483 547 0 
0 711 0 606 731 0 
0 1095 0 527 379 47 
0 1003 0 578 430 37 
0 782 0 732 531 3 
9 1104 0 674 115 146 
24 812 0 875 207 130 
24 461 0 1157 237 169 
80 1025 5 674 124 140 
85 968 2 717 138 138 
89 913 2 781 134 129 
